,title,tag,description,link,voting,author,date
37,Python Exploratory Data Analysis Tutorial,python,"Learn the basics of Exploratory Data Analysis (EDA) in Python with Pandas, Matplotlib and NumPy, such as sampling, feature engineering, correlation, etc.",67,97,Karlijn Willems,"March 15th, 2017"
38,Python Dictionary Tutorial,python,"In this Python tutorial, you'll learn how to create a dictionary, load data in it, filter, get and sort the values, and perform other dictionary operations. ",67,25,Thomas Wielfaert,"February 16th, 2017"
39,Algorithmic Trading in R Tutorial,python,"In this R tutorial, you'll do web scraping, hit a finance API and use an htmlwidget to make an interactive time series chart to perform a simple algorithmic trading strategy",67,26,Ted Kwartler,"February 9th, 2017"
40,Scipy Tutorial: Vectors and Arrays (Linear Algebra),python,"A SciPy tutorial in which you'll learn the basics of linear algebra that you need for machine learning in Python, with a focus how to with NumPy.  ",67,25,Karlijn Willems,"February 8th, 2017"
41,Python Excel Tutorial: The Definitive Guide ,python,"Learn how to read and import Excel files in Python, how to write data to these spreadsheets and which are the best packages to do this.  ",67,157,Karlijn Willems,"January 31st, 2017"
42,Scikit-Learn 教學：Python 與機器學習,data manipulation,簡單易懂的 scikit-learn 教學，適合想要使用 Python 實作機器學習的初學者閱讀。,67,50,Yao-Jen Kuo,"January 27th, 2017"
43,Exploring H-1B Data with R: Part 3,data manipulation,Learn how to geocode locations and map them with R,67,6,Ted Kwartler,"January 26th, 2017"
44,Exploring H-1B Data with R: Part 2,python,"Learn even more about exploratory data analysis with R in the second part of the ""Exploring H-1B Data"" tutorial series",67,4,Ted Kwartler,"January 19th, 2017"
45,Web Scraping and Parsing Data in R |  Exploring H-1b Data Pt. 1,python,"Learn how to scrape data from the web, preprocess it and perform a basic exploratory data analysis with R ",67,15,Ted Kwartler,"January 12th, 2017"
46,15 Easy Solutions To Your Data Frame Problems In R,python,"Discover how to create a data frame in R, change column and row names, access values, attach data frames, apply functions and much more.",67,53,Karlijn Willems,"January 10th, 2017"
47,40+ Python Statistics For Data Science Resources,python,A list of Python resources for the eight statistics topics that you need to know to excel in data science,67,45,Karlijn Willems,"December 5th, 2016"
48,Learn Data Science - Infographic,machine learning,Start your data science journey now and follow these 8 steps to learn data science.,67,41,Karlijn Willems,"October 18th, 2016"
49,Python For Data Science - A Cheat Sheet For Beginners,machine learning,This handy one-page reference presents the Python basics that you need to do data science,67,41,Karlijn Willems,"October 12th, 2016"
50,Learn Data Science - Resources for Python & R,python,"Data science resources you haven't considered (yet) - The best projects, tutorials, talks, podcasts, webinars, books, and much more to learn data science.",67,46,Karlijn Willems,"September 21st, 2016"
51,Text Mining in R: Are Pokémon GO Mentions Really Driving Up Stock Prices?,python,"Recreate your own news trends feature in R, mining Pokémon GO data from Google News Trends and Yahoo Finance.",67,5,Ted Kwartler,"September 2nd, 2016"
52,Driving R Adoption in Your Company,machine learning,Build a better R culture at your company with an internal meetup!,67,5,Jake Moody,"August 5th, 2016"
53,Preprocessing in Data Science (Part 3): Scaling Synthesized Data,machine learning,You can preprocess the heck out of your data but the proof is in the pudding: how well does your model then perform?,67,11,Hugo Bowne-Anderson,"May 10th, 2016"
54,"Preprocessing in Data Science (Part 2): Centering, Scaling and Logistic Regression",python,Discover whether centering and scaling help your model in a logistic regression setting.,67,24,Hugo Bowne-Anderson,"May 3rd, 2016"
55,"Preprocessing in Data Science (Part 1): Centering, Scaling, and KNN",python,This article will explain the importance of preprocessing in the machine learning pipeline by examining how centering and scaling can improve model performance.,67,45,Hugo Bowne-Anderson,"April 26th, 2016"
56,The Data Science Industry: Who Does What (Infographic),r programming,"This infograph compares the roles of data scientists, data analysts, data architects, data engineers and more in the data science industry.",67,59,Karlijn Willems,"November 10th, 2015"
57,Web Scraping with R and PhantomJS,r programming,Short tutorial on scraping Javascript generated data with R using PhantomJS.,67,14,Filip Schouwenaars,"March 16th, 2015"
58,How to Speak Data Science,python,Data Science has its own language. This is a great list of often-heard data science terminology and quotes by Datacamp.,67,17,Karlijn Willems,"March 4th, 2015"
59,"A data.table R Tutorial:  Intro to DT[i, j, by]",python,The free data.table R tutorial explains the basics and syntax of the data.table package for R. Master the data.table syntax now.,67,8,Karlijn Willems,"February 3rd, 2015"
60,Become A Data Scientist in 8 Steps: Infographic,python,This DataCamp infographic outlines how you can become a data scientist in 8 steps. This guide is for everyone interested in data science.,67,42,Karlijn Willems,"November 10th, 2014"
61,The RDocumentation Poster,python,"Rdocumentation.org is the only R documentation and R manuals aggregator that lets you search everything from CRAN, Bioconductor and GitHub.",67,2,Karlijn Willems,"August 4th, 2014"
62,Decimal Comma or Point? A googleVis visualization,python,Decimal comma or decimal point? A handy tool to indicate the decimal separator used in each country so you never make a mistake in your sheet,67,3,Karlijn Willems,"June 9th, 2014"
63,What Is the Best Statistical Programming Language? Infograph,python,"The infograph 'Statistical Language Wars' compares statistical programming language like SAS, R and SPSS to see how they stack up.",67,6,Karlijn Willems,"June 3rd, 2014"
64,Data Science Cartoons: a Top Seven List by DataCamp,data visualization,The 7 funniest data science cartoons on the web selected by you. A selection made by DataCamp to celebrate April's fools day.,67,10,Karlijn Willems,"March 31st, 2014"
65,R posts on Stack Overflow | A Top 5 selection by DataCamp,data visualization,Stack Overflow is a useful resource for technical questions. At DataCamp we wanted to share our favourite R posts on Stack Overflow.,67,4,Karlijn Willems,"March 17th, 2014"
66,Coursera Courses on R: Complete List Ranked by “Popularity”,data visualization,"A list of all Coursera courses on R. These courses use R as their first choice, or as one of the statistical software packages for homework.",67,5,Karlijn Willems,"December 4th, 2013"
